,episode_length,ep_reward,episodes,total_step,average_return
0,20,-1.0,0,20,-1.0
1,20,-1.0,100,2020,-0.38
2,20,0.0,200,4020,-0.01
3,20,0.0,300,6020,0.1
4,20,0.0,400,8020,0.53
5,20,0.0,500,10020,0.51
6,20,2.0,600,12020,0.65
7,20,1.0,700,14020,0.53
8,20,0.0,800,16020,0.76
9,20,1.0,900,18020,0.93
10,20,1.0,1000,20020,0.83
11,20,1.0,1100,22020,0.97
12,20,1.0,1200,24020,0.87
13,20,2.0,1300,26020,0.8
14,20,1.0,1400,28020,1.11
15,20,2.0,1500,30020,1.06
16,20,-1.0,1600,32020,0.91
17,20,2.0,1700,34020,1.09
18,20,1.0,1800,36020,1.01
19,20,0.0,1900,38020,0.99
20,20,1.0,2000,40020,1.01
21,20,3.0,2100,42020,1.05
22,20,1.0,2200,44020,1.04
23,20,0.0,2300,46020,1.14
24,20,1.0,2400,48020,1.28
25,20,2.0,2500,50020,1.12
26,20,1.0,2600,52020,1.13
27,20,1.0,2700,54020,1.12
28,20,3.0,2800,56020,1.05
29,20,1.0,2900,58020,1.1
30,20,2.0,3000,60020,1.31
31,20,1.0,3100,62020,1.28
32,20,3.0,3200,64020,1.41
33,20,1.0,3300,66020,1.12
34,20,1.0,3400,68020,1.36
35,20,2.0,3500,70020,1.39
36,20,3.0,3600,72020,1.39
37,20,2.0,3700,74020,1.28
38,20,3.0,3800,76020,1.45
39,20,1.0,3900,78020,1.33
40,20,2.0,4000,80020,1.41
41,20,3.0,4100,82020,1.42
42,20,1.0,4200,84020,1.26
43,20,0.0,4300,86020,1.44
44,20,3.0,4400,88020,1.74
45,20,2.0,4500,90020,1.45
46,20,0.0,4600,92020,1.38
47,20,3.0,4700,94020,1.39
48,20,2.0,4800,96020,1.49
49,20,1.0,4900,98020,1.46
50,20,3.0,5000,100020,1.39
